"prior_id","variable","rmse","mae","mean_crps","coverage_68","coverage_90"
"mn_random_walk","ci",0.0286654734165653,0.015835918301589,0.0135207215991335,0.416666666666667,0.555555555555556
"mn_soc","ci",0.0318896644897689,0.0174740279788177,0.0148164502693971,0.277777777777778,0.527777777777778
"mn_sur","ci",0.0299169437871399,0.0160787379558933,0.0138138627678364,0.416666666666667,0.555555555555556
"mn_zero_mean","ci",0.0230047720981524,0.0150492449940998,0.0124474343042894,0.333333333333333,0.555555555555556
"published_baseline","ci",0.0326735223182465,0.0175368197276766,0.0149112199538895,0.277777777777778,0.527777777777778
"mn_random_walk","exp",0.576508881888582,0.382548989839533,0.32686686041401,0.222222222222222,0.333333333333333
"mn_soc","exp",0.599931119692214,0.38785578610116,0.333444756440895,0.222222222222222,0.361111111111111
"mn_sur","exp",0.590176187696663,0.386358001784238,0.330876590104807,0.222222222222222,0.333333333333333
"mn_zero_mean","exp",0.565806220247999,0.381655862027006,0.324025234399915,0.25,0.333333333333333
"published_baseline","exp",0.613493096731929,0.39190245243209,0.337541134906369,0.194444444444444,0.333333333333333
"mn_random_walk","gha",1.10194083826709,0.625688969908007,0.533362085286777,0.361111111111111,0.611111111111111
"mn_soc","gha",1.11683716199332,0.62968064975794,0.539739386290208,0.333333333333333,0.5
"mn_sur","gha",1.10155556299391,0.624513446786344,0.533202090852186,0.388888888888889,0.555555555555556
"mn_zero_mean","gha",1.14099351304408,0.636647439681745,0.541723951255724,0.388888888888889,0.583333333333333
"published_baseline","gha",1.11705722711729,0.62926331262747,0.539293458355246,0.333333333333333,0.5
"mn_random_walk","igi",0.119122613959609,0.0841783579715436,0.0722427659449863,0.222222222222222,0.388888888888889
"mn_soc","igi",0.121759592600469,0.0856511417342524,0.073688854886482,0.194444444444444,0.361111111111111
"mn_sur","igi",0.119053419368549,0.0842095341289074,0.0722867081291867,0.194444444444444,0.388888888888889
"mn_zero_mean","igi",0.121871375446662,0.0859436342789433,0.0735163507738135,0.222222222222222,0.416666666666667
"published_baseline","igi",0.12175474196799,0.0854927535356073,0.0735624842748867,0.194444444444444,0.361111111111111
"mn_random_walk","selic",1.33794343911699,0.369267964417677,0.339893143475739,0.222222222222222,0.472222222222222
"mn_soc","selic",1.39602196567087,0.3881271022439,0.359924040304011,0.277777777777778,0.388888888888889
"mn_sur","selic",1.34042963260011,0.370335785937445,0.341002692291637,0.25,0.5
"mn_zero_mean","selic",1.46508239084074,0.406964770872972,0.377112541523611,0.25,0.472222222222222
"published_baseline","selic",1.39830995674964,0.389007478503286,0.361213600245758,0.25,0.388888888888889
