"prior_id","date","variable","observation","forecast_mean","error","absolute_error","squared_error","crps","coverage_68","coverage_90","scale"
"published_baseline",2019-07-01,"igi",0.336518716202664,0.307340203363018,-0.0291785128396459,0.0291785128396459,0.000851385611533381,0.0220007594268062,FALSE,FALSE,0.188567331614857
"published_baseline",2019-07-01,"ci",1,0.994996668232375,-0.00500333176762469,0.00500333176762469,2.50333287769224e-05,0.00316796132618751,FALSE,TRUE,0.072689807061618
"published_baseline",2019-07-01,"gha",-0.233134769467566,-0.0743219489695037,0.158812820498062,0.158812820498062,0.0252215119545498,0.0996025882589384,FALSE,TRUE,4.32080869866652
"published_baseline",2019-07-01,"exp",3.65,3.55608936979946,-0.0939106302005426,0.0939106302005426,0.00881920646466306,0.0596618248801552,FALSE,TRUE,1.24041120436097
"published_baseline",2019-07-01,"selic",6.33684441173752,6.26528615990414,-0.0715582518333751,0.0715582518333751,0.00512058340544872,0.0576736475950564,FALSE,FALSE,4.28014378136769
"published_baseline",2019-08-01,"igi",0.297825361058368,0.339071753005717,0.0412463919473489,0.0412463919473489,0.00170126484867433,0.0334859834544623,FALSE,FALSE,0.188567331614857
"published_baseline",2019-08-01,"ci",1,0.99210795989854,-0.00789204010146027,0.00789204010146027,6.22842969630571e-05,0.00572711978939402,FALSE,FALSE,0.072689807061618
"published_baseline",2019-08-01,"gha",-0.384946636272569,-0.295747761602085,0.0891988746704838,0.0891988746704838,0.00795643924248068,0.0536477047934847,TRUE,TRUE,4.32080869866652
"published_baseline",2019-08-01,"exp",3.49,3.73588525223902,0.245885252239023,0.245885252239023,0.0604595572686479,0.2003564935337,FALSE,FALSE,1.24041120436097
"published_baseline",2019-08-01,"selic",6.26283049994651,6.35102691494065,0.0881964149941377,0.0881964149941377,0.00777860761781815,0.0742746775448194,FALSE,FALSE,4.28014378136769
"published_baseline",2019-09-01,"igi",0.34572392334498,0.293633124739172,-0.0520907986058075,0.0520907986058075,0.0027134512993908,0.044543748914931,FALSE,FALSE,0.188567331614857
"published_baseline",2019-09-01,"ci",1,0.995886622381241,-0.0041133776187593,0.0041133776187593,1.69198754345099e-05,0.00251077966577183,FALSE,TRUE,0.072689807061618
"published_baseline",2019-09-01,"gha",-0.536758503077572,-0.440995427426562,0.0957630756510099,0.0957630756510099,0.00917056665814104,0.058993022132323,TRUE,TRUE,4.32080869866652
"published_baseline",2019-09-01,"exp",3.34,3.54207678034774,0.202076780347739,0.202076780347739,0.0408350251557085,0.158821734568894,FALSE,FALSE,1.24041120436097
"published_baseline",2019-09-01,"selic",6.25225392679034,6.2053062434547,-0.046947683335639,0.046947683335639,0.00220408497058344,0.0333951788277347,FALSE,FALSE,4.28014378136769
"published_baseline",2019-10-01,"igi",0.760918870404394,0.333059617404458,-0.427859252999936,0.427859252999936,0.183063540377663,0.420167323611063,FALSE,FALSE,0.188567331614857
"published_baseline",2019-10-01,"ci",1,0.995128708338982,-0.00487129166101763,0.00487129166101763,2.37294824466999e-05,0.00304205480095021,FALSE,TRUE,0.072689807061618
"published_baseline",2019-10-01,"gha",-0.451727754964882,-0.6025469531691,-0.150819198204218,0.150819198204218,0.0227464305469631,0.0937770959226214,FALSE,TRUE,4.32080869866652
"published_baseline",2019-10-01,"exp",3.37,3.38457087342088,0.0145708734208756,0.0145708734208756,0.000212310352247179,0.0195565166568097,TRUE,TRUE,1.24041120436097
"published_baseline",2019-10-01,"selic",6.18884498273218,6.24114942066122,0.0523044379290418,0.0523044379290418,0.00273575422707299,0.0382451824649488,FALSE,FALSE,4.28014378136769
"published_baseline",2019-11-01,"igi",1,0.689279481369092,-0.310720518630908,0.310720518630908,0.0965472406982602,0.292912412418718,FALSE,FALSE,0.188567331614857
"published_baseline",2019-11-01,"ci",1,0.990684478609477,-0.00931552139052261,0.00931552139052261,8.67789387772843e-05,0.00590844131442786,FALSE,TRUE,0.072689807061618
"published_baseline",2019-11-01,"gha",-0.363862648581769,-0.666868104699194,-0.303005456117425,0.303005456117425,0.0918123064369287,0.205068606534905,FALSE,FALSE,4.32080869866652
"published_baseline",2019-11-01,"exp",3.81,3.47320230532778,-0.336797694672221,0.336797694672221,0.113432687136523,0.267686195906585,FALSE,FALSE,1.24041120436097
"published_baseline",2019-11-01,"selic",6.07260682024735,6.13639143605157,0.0637846158042157,0.0637846158042157,0.0040684772132914,0.0399137822514391,FALSE,TRUE,4.28014378136769
"published_baseline",2019-12-01,"igi",0.981329524820544,0.953215079939414,-0.02811444488113,0.02811444488113,0.000790422010974098,0.017117426256747,TRUE,TRUE,0.188567331614857
"published_baseline",2019-12-01,"ci",1,0.990761191766877,-0.00923880823312329,0.00923880823312329,8.53555775684266e-05,0.00591694980511085,FALSE,TRUE,0.072689807061618
"published_baseline",2019-12-01,"gha",-0.278831900469079,-0.808691938828725,-0.529860038359646,0.529860038359646,0.280751660250486,0.426098512175717,FALSE,FALSE,4.32080869866652
"published_baseline",2019-12-01,"exp",4.1,4.02037786004745,-0.0796221399525532,0.0796221399525532,0.00633968517062397,0.0477361363431931,TRUE,TRUE,1.24041120436097
"published_baseline",2019-12-01,"selic",5.9459403577294,6.00883757027803,0.0628972125486307,0.0628972125486307,0.00395605934638762,0.0389540099985914,FALSE,TRUE,4.28014378136769
"published_baseline",2020-01-01,"igi",0.718596176759615,0.930885595845701,0.212289419086086,0.212289419086086,0.0450667974559078,0.194117818189044,FALSE,FALSE,0.188567331614857
"published_baseline",2020-01-01,"ci",1,0.99507627381258,-0.00492372618742032,0.00492372618742032,2.42430795686886e-05,0.0029922160562327,TRUE,TRUE,0.072689807061618
"published_baseline",2020-01-01,"gha",-1.14220082511388,-0.720418996007298,0.421781829106582,0.421781829106582,0.177899911364494,0.318846052137365,FALSE,FALSE,4.32080869866652
"published_baseline",2020-01-01,"exp",3.44,4.28398990055606,0.843989900556064,0.843989900556064,0.712318952240636,0.773727536974569,FALSE,FALSE,1.24041120436097
"published_baseline",2020-01-01,"selic",5.77733730961685,5.90888254479509,0.131545235178236,0.131545235178236,0.0173041488980974,0.104429102668122,FALSE,FALSE,4.28014378136769
"published_baseline",2020-02-01,"igi",0.696348024674756,0.634485939335353,-0.0618620853394027,0.0618620853394027,0.00382691760253955,0.0420863560848699,FALSE,FALSE,0.188567331614857
"published_baseline",2020-02-01,"ci",1,1.00541995005157,0.00541995005157259,0.00541995005157259,2.93758585615417e-05,0.00329359841298857,TRUE,TRUE,0.072689807061618
"published_baseline",2020-02-01,"gha",-2.00556974975868,-2.11382797967823,-0.108258229919553,0.108258229919553,0.0117198443453149,0.0685208440520701,TRUE,TRUE,4.32080869866652
"published_baseline",2020-02-01,"exp",3.46,3.36390224976284,-0.0960977502371567,0.0960977502371567,0.00923477760064296,0.0578563339504935,TRUE,TRUE,1.24041120436097
"published_baseline",2020-02-01,"selic",5.56681419824334,5.73818570790593,0.171371509662594,0.171371509662594,0.0293681943240364,0.139890631941908,FALSE,FALSE,4.28014378136769
"published_baseline",2020-03-01,"igi",0.744792120162424,0.654937557830386,-0.0898545623320384,0.0898545623320384,0.00807384237188217,0.077942417874948,FALSE,FALSE,0.188567331614857
"published_baseline",2020-03-01,"ci",1,0.996015161989448,-0.00398483801055249,0.00398483801055249,1.5878933970344e-05,0.0022788259025622,TRUE,TRUE,0.072689807061618
"published_baseline",2020-03-01,"gha",-2.81323745345866,-2.83538244126527,-0.0221449878066098,0.0221449878066098,0.000490400484954896,0.0348015996877328,TRUE,TRUE,4.32080869866652
